# Time(s)  Normalized_Flux
5770.000000 1.014188
5780.000000 1.011168
5790.000000 1.013795
5800.000000 1.010252
5810.000000 1.020521
5820.000000 1.004838
5830.000000 1.008588
5840.000000 1.001999
5850.000000 1.013671
5860.000000 1.009117
5870.000000 1.014335
5880.000000 1.007805
5890.000000 1.005967
5900.000000 0.993587
5910.000000 1.002890
5920.000000 0.995127
5930.000000 0.987288
5940.000000 0.983897
5950.000000 1.000772
5960.000000 0.974699
5970.000000 0.976746
5980.000000 0.962024
5990.000000 0.972904
6000.000000 0.973387
6010.000000 0.974188
6020.000000 0.957019
6030.000000 0.971531
6040.000000 0.968874
6050.000000 0.952442
6070.000000 0.956626
6080.000000 0.955145
6090.000000 0.966818
6100.000000 0.968354
6110.000000 0.957134
6120.000000 0.958303
6130.000000 0.971227
6140.000000 0.948983
6150.000000 0.959202
6160.000000 0.972297
6170.000000 0.960571
6180.000000 0.961903
6190.000000 0.956905
6200.000000 0.956027
6210.000000 0.969794
6230.000000 0.986245
6240.000000 0.992680
6250.000000 0.978323
6260.000000 0.997708
6270.000000 0.995435
6280.000000 1.018938
6290.000000 1.017975
6300.000000 1.030741
6310.000000 1.012630
6320.000000 1.029799
6330.000000 1.033520
6340.000000 1.016613
6350.000000 1.026720
6360.000000 1.021770
6370.000000 1.013213
6380.000000 1.011735
6390.000000 1.012134
6400.000000 1.024803
6410.000000 1.024385
6420.000000 0.999930
6430.000000 1.016524
6440.000000 1.007615
6450.000000 1.012649
6460.000000 0.995344
6470.000000 1.012317
6480.000000 1.002320
6490.000000 1.000272
6500.000000 1.001975
6510.000000 0.997907
6520.000000 1.001003
6530.000000 0.997084
6540.000000 0.990587
6550.000000 0.991591
6560.000000 1.003819
6570.000000 0.995624
6580.000000 0.993075
6590.000000 0.982677
6600.000000 0.980793
6610.000000 0.983825
6620.000000 0.995808
6630.000000 0.980354
6640.000000 1.009506
6650.000000 0.995883
6660.000000 0.995425
6670.000000 0.998268
6680.000000 1.033824
6690.000000 1.024821
6700.000000 1.019827
6710.000000 1.037806
6720.000000 1.023879
6730.000000 1.029075
6740.000000 1.033868
6750.000000 1.040833
6760.000000 1.022111
6770.000000 1.015325
6780.000000 1.024201
6790.000000 1.022431
6800.000000 1.014251
6810.000000 1.026701
6820.000000 1.014173
6830.000000 1.009247
6840.000000 1.014418
6850.000000 1.017178
6860.000000 1.018043
6870.000000 0.998688
6880.000000 1.019921
6890.000000 1.016234
6900.000000 1.010058
6910.000000 1.007512
6920.000000 1.002910
6930.000000 1.005892
6940.000000 1.015560
6950.000000 1.018943
6960.000000 1.005971
6970.000000 1.019665
6980.000000 1.006164
6990.000000 1.008160
7000.000000 0.993929
7010.000000 0.998993
7020.000000 1.008887
7030.000000 1.008269
7040.000000 1.010941
7050.000000 0.993549
7060.000000 0.997205
7070.000000 1.012129
7080.000000 1.006658
